int_id,200907,200910,201001,201004,201007,201010,201101,201104,201107,201110,201201,201204,201207,201210,201301,201304,201307,201310,201401,201404,201407,201410,201501,201504,201507,201510,201602,201606,201610,201702,201706,201710,201802,201806,201810,201812,201902,201906,201910,202002,202006,202010,202102,202106,202110,202202,202206,202210,202302,202306,202310,200907_sm,200910_sm,201001_sm,201004_sm,201007_sm,201010_sm,201101_sm,201104_sm,201107_sm,201110_sm,201201_sm,201204_sm,201207_sm,201210_sm,201301_sm,201304_sm,201307_sm,201310_sm,201401_sm,201404_sm,201407_sm,201410_sm,201501_sm,201504_sm,201507_sm,201510_sm,201602_sm,201606_sm,201610_sm,201702_sm,201706_sm,201710_sm,201802_sm,201806_sm,201810_sm,201812_sm,201902_sm,201906_sm,201910_sm,202002_sm,202006_sm,202010_sm,202102_sm,202106_sm,202110_sm,202202_sm,202206_sm,202210_sm,202302_sm,202306_sm,202310_sm
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,99,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,2,1,1,1,99,1,2,2,1,1,1,1,2,2,3,3,2,2,2,2,-0.025154032,-0.005643362,-0.01317914,0.002588076,-0.015296981,-0.01919833,-0.047841161,-0.023165461,-0.033051216,-0.005367304,0.000940122,-0.007583426,-0.006049922,0.012213293,0.013261416189962167,0.037353165702318135,0.037576616,0.001532144,-0.007622561,-0.015326414,-0.033491756,-0.004711441,-0.006784699,0.006817651,0.012382619290632712,0.003184822,0.025989381,0.002844202,-0.00973737,-0.031506877,-0.039005058,-0.012464351,-0.015290975,0.057813273,0.013318352093049091,-0.008272764,-0.014350776,0.023965677,0.068283039,0.066824201,0.020920605928027393,0.000439288,0.017811681385145346,-0.007773466,-0.027006765,-0.017359565,-0.011236376,-0.014724066,0.012085823147899369,-0.003136551,
12,99,4,4,4,4,4,4,4,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,3,1,1,1,99,1,2,2,1,1,1,1,2,2,3,3,2,2,2,2,-0.015916029,-0.003829664,-0.002292757,0.009492038,0.004045602,-0.00374201,-0.018792471,-0.008807677,-0.014874328,-0.000488529,0.014488024,0.002521568,-0.008263092,-0.002327816,-0.011220602,0.011902641059552648,0.012237427642200297,-0.001631994,-0.002213015,-0.001422283,-0.015464789,-0.003096939,0.003171559,0.003086593,0.017176336080915924,0.00511533,0.007680643,0.001691033,-0.001359291,-0.014202255,-0.016824096,-0.00668238,-0.008706095,0.043396694723924135,0.012230732316513358,-0.010946949,-0.009557501,0.009562208,0.025745815052586173,0.018575997,0.004967715,-0.009158415,0.005040913,3.7613033782709195e-05,-0.015700327,-0.011097826,-0.006064457,-0.008794821,-0.006041437,-0.004433126,
13,99,4,3,3,3,3,3,3,5,5,3,3,3,3,2,2,2,2,2,2,2,2,1,3,3,3,2,2,2,3,4,3,1,1,1,99,1,2,2,1,2,1,1,2,2,3,4,3,2,2,2,-0.01965781,-0.006918453,-0.008830758,0.011088176476211917,-0.000967116,-0.008854037,-0.030822493,-0.01404741,-0.020758748,0.001796999,0.037811123,0.007764007,-0.002653471,0.005798279,-0.008812223,0.021609046835746815,0.020782368,-0.00296131,-0.006549816,-0.00383941,-0.019088908,-0.006759307,-0.011895745,0.001549215,0.022392806,0.006567818,0.014102315600328583,0.010342259,-0.002453934,-0.023662207,-0.022711713,-0.010097902,-0.018712858,0.053083464,0.009795829,-0.01661908,-0.019479766,0.020100520100866454,0.056072533312233705,0.029578471299595163,0.00560433,-0.014856002,0.00444047,-0.003396622,-0.025975453,-0.019446574,-0.008951226,-0.012294241,-0.0071483,-0.003400096,
14,99,4,4,4,4,4,4,4,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,4,3,1,1,1,99,1,2,2,1,1,1,1,2,2,3,3,2,2,2,2,-0.0195614,-0.00844637,-0.017222381,-0.006476582,-0.039053068,-0.028473533,-0.067728199,-0.028483322,-0.034138951,-0.012129905,-0.008964384,-0.013080851,-0.013977925,0.021192073173421856,0.048706822,0.044208743,0.048559497853386285,0.010277054555315007,0.00440931,-0.017111031,-0.036058339,-0.006474907,-0.016562564,0.00756823,0.021242539,0.013262747714872503,0.051949274,0.000431938,-0.012404897,-0.039652732,-0.046137969,-0.018374718,-0.025161028,0.055700383,0.015499554990258579,-0.011836123,-0.026772529,0.015735555,0.076679025,0.10478630193531335,0.029079624645722404,0.011132101927484771,0.013996144773305536,-0.01445368,-0.036737261,-0.032748569,-0.017161374,-0.023322998,0.03114299,0.007365057,
15,99,4,3,4,4,3,3,3,5,5,3,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,4,3,1,1,1,99,1,2,2,1,2,1,1,2,2,3,4,3,2,2,2,-0.020495203,-0.011303729,-0.019847207,-0.004222788,-0.01623221,-0.0227007,-0.058563954,-0.025008881,-0.029087282,-0.007828874,-0.002008295,-0.007698807,-0.002228908,0.013510718871469783,0.020364088,0.03556029,0.036702670690987906,0.004802001,0.009596189,-0.01041329,-0.015167186,-0.003526925,-0.013296076,0.004785673,0.014559669569799927,0.013786240868891284,0.041623415691049985,-0.00011862,-0.011980967,-0.038696056,-0.039902478,-0.015697908,-0.022533426,0.050086917,0.020543563153801684,0.004727872,-0.011130361,0.018228255023825034,0.062006803,0.071886745,0.023803808,0.014183956005754662,0.003009482,-0.010756634,-0.02694772,-0.033406695,-0.017572986,-0.014942702,0.013109846820404381,-0.002059097,
16,99,4,4,4,4,4,4,4,5,5,3,3,3,3,2,2,2,2,2,2,3,3,1,2,2,2,2,2,2,4,4,3,3,2,2,99,2,3,4,2,2,3,2,3,3,3,4,4,3,3,3,-0.036545776,-0.019164662,-0.00755746,0.021973859,0.001964658,-0.030531346,-0.085258196,-0.037444616,-0.045595409,-0.004005573,0.013182221119528414,-0.006451175,0.00996734,0.022793929,0.030646368694394414,0.056694081,0.065670432,0.008721687,0.024833108117776136,-0.011452306,-0.001265687,-0.006094104,-0.026363559,0.006967267,0.019074568,0.017966187,0.046583722,0.002243455,-0.019683388,-0.053250111,-0.04377427,-0.009237336,-0.022141068,0.061505108,0.010502611905503176,0.007100404,-0.016036457,0.017372261169853048,0.066748987,0.055726508,0.028043542717541777,0.009810627,0.001349417,-0.017277637,-0.043161439,-0.042246275,-0.020258668,0.002031801,0.011763651271475776,0.008052568,
17,99,4,3,4,4,3,3,3,5,5,3,3,3,3,2,2,2,2,2,2,3,3,1,2,2,2,2,2,2,3,4,3,1,1,1,99,1,2,2,1,2,1,1,2,2,3,4,3,2,2,2,-0.020184776,-0.00726692,0.002624012,0.022675099568620634,0.004874855,-0.013511977,-0.036933624,-0.021333001,-0.032530563,0.00696972,0.059362614,0.006932154,0.012377328371915651,0.014650995044324235,-0.000378999,0.036433143971953554,0.033290591,-0.005601424,-0.013821956,-0.00984537,-0.026958661,-0.007559691,-0.019014229,-0.001401633,0.010858647872765505,0.004571612,0.035956149,0.020440161,-0.00462255,-0.028303255,-0.032219803,-0.013258957,-0.02159757,0.054590527,0.004370264,-0.020755391,-0.031510493,0.030680664847246738,0.036556415669082735,0.041661637219098914,0.004056399,-0.01233184,-0.002443785,-0.012964242,-0.03590022,-0.029426313,-0.016015383,-0.01107574,-0.004453392,-0.000281349,
18,99,4,3,4,4,3,3,3,5,5,3,3,3,3,2,2,2,2,2,2,3,3,1,2,2,2,2,2,2,4,4,3,3,2,2,99,2,3,4,2,2,3,2,3,3,3,4,4,3,3,3,-0.014909607,-0.005798012,0.008101697,0.031036279,0.005513138,-0.019320422,-0.046726542,-0.032174287,-0.048964537,0.000184514,0.052794974,0.002637528,0.017497478,0.021303382061887564,0.002759478,0.042616535,0.040488836,-0.001429894,-0.012797627,-0.014640669,-0.036494143,-0.009834861,-0.02000429,-0.003886831,0.001733678,0.005552331,0.040477032,0.009942712,-0.009198652,-0.040927119,-0.036712428,-0.015863068,-0.028114678,0.073218154,0.013053789368474518,-0.0206757,-0.03537809,0.029038996,0.063266563,0.058331178,0.007629078,-0.011013207,0.001565224,-0.018365019,-0.043781633,-0.045785825,-0.022215201,-0.000782118,0.010728583,0.001568381,
19,99,4,4,3,4,4,4,4,5,5,3,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,4,3,1,1,1,99,1,2,2,1,2,1,1,2,2,3,4,3,2,2,2,-0.025784671,-0.008013451,-0.009567346,0.005426842,-0.009436357,-0.018411767,-0.048904541,-0.023755109,-0.029026951,-0.001605374,0.012154102489867846,-0.004692704,-0.004604624,0.012050922987009197,0.001187884,0.03560593,0.03565036,0.00203787,-0.004338555,-0.012798833,-0.026719866,-0.005895145,-0.018183613,0.002664012,0.009429578,0.002692413,0.025668839,0.004557625,-0.009480951,-0.034604068,-0.03310654,-0.013997383,-0.023349635,0.062690163,0.021612251,-0.000257032,-0.009316338,0.027654152137942947,0.072380481,0.065623213,0.018706574115907447,0.006900749,0.006147142,-0.0114461,-0.029278262,-0.032905413,-0.015102695,-0.005950948,0.008107149,-0.002565004,
